datetime,energy,water,temperature,weekday,holiday,uni_holiday,time,registrations,daylight
2019-05-02 12:00:00,45.78,0.8,20.0,3,0,0,12.0,0,1
2019-05-02 13:00:00,43.06,1.0,20.7,3,0,0,13.0,0,1
2019-05-02 14:00:00,42.05,0.6,21.7,3,0,0,14.0,141,1
2019-05-02 15:00:00,43.64,1.0,22.5,3,0,0,15.0,415,1
2019-05-02 16:00:00,38.53,0.7,23.2,3,0,0,16.0,415,1
2019-05-02 17:00:00,33.38,0.7,22.9,3,0,0,17.0,415,1
2019-05-02 18:00:00,30.03,0.5,23.0,3,0,0,18.0,69,1
2019-05-02 19:00:00,25.96,0.4,21.4,3,0,0,19.0,69,1
2019-05-02 20:00:00,19.78,0.2,19.6,3,0,0,20.0,0,1
2019-05-02 21:00:00,20.87,0.1,17.3,3,0,0,21.0,0,0
2019-05-02 22:00:00,21.18,0.2,14.4,3,0,0,22.0,0,0
2019-05-02 23:00:00,20.2,0.1,14.2,3,0,0,23.0,0,0
2019-05-03 00:00:00,19.66,0.0,12.3,4,0,0,0.0,0,0
2019-05-03 01:00:00,19.02,0.1,11.9,4,0,0,1.0,0,0
2019-05-03 02:00:00,19.4,0.0,11.7,4,0,0,2.0,0,0
2019-05-03 03:00:00,20.25,0.0,10.7,4,0,0,3.0,0,0
2019-05-03 04:00:00,20.04,0.0,12.6,4,0,0,4.0,0,0
2019-05-03 05:00:00,19.81,0.0,12.8,4,0,0,5.0,0,0
2019-05-03 06:00:00,21.73,0.2,13.0,4,0,0,6.0,0,1
2019-05-03 07:00:00,22.99,0.3,12.2,4,0,0,7.0,0,1
2019-05-03 08:00:00,31.08,0.4,13.8,4,0,0,8.0,0,1
2019-05-03 09:00:00,38.76,0.4,13.6,4,0,0,9.0,141,1
2019-05-03 10:00:00,48.16,1.1,14.1,4,0,0,10.0,159,1
2019-05-03 11:00:00,48.62,1.1,14.7,4,0,0,11.0,207,1
2019-05-03 12:00:00,44.43,0.7,16.6,4,0,0,12.0,207,1
2019-05-03 13:00:00,39.16,0.8,16.0,4,0,0,13.0,207,1
2019-05-03 14:00:00,35.34,0.7,13.1,4,0,0,14.0,0,1
2019-05-03 15:00:00,29.8,0.7,12.3,4,0,0,15.0,0,1
2019-05-03 16:00:00,25.02,0.3,13.8,4,0,0,16.0,0,1
2019-05-03 17:00:00,22.91,0.5,14.9,4,0,0,17.0,0,1
2019-05-03 18:00:00,22.31,0.3,14.5,4,0,0,18.0,0,1
2019-05-03 19:00:00,20.25,0.2,12.2,4,0,0,19.0,0,1
2019-05-03 20:00:00,19.65,0.2,11.9,4,0,0,20.0,0,1
2019-05-03 21:00:00,23.76,0.2,11.4,4,0,0,21.0,0,0
2019-05-03 22:00:00,25.36,0.2,10.9,4,0,0,22.0,0,0
2019-05-03 23:00:00,20.48,0.2,10.8,4,0,0,23.0,0,0
2019-05-04 00:00:00,19.09,0.1,9.4,5,0,0,0.0,0,0
